date,tickets
1683-08-25,487
1683-08-26,616
1683-08-27,299
1683-08-28,536
1683-08-29,538
1683-08-30,616
1683-08-31,508
1683-09-02,236
1683-09-03,992
1683-09-05,892
1683-09-06,221
1683-09-07,524
1683-09-09,592
1683-09-10,114
1683-09-11,218
1683-09-12,574
1683-09-13,698
1683-09-14,484
1683-09-15,782
1683-09-16,452
1683-09-17,924
1683-09-18,306
1683-09-19,942
1683-09-20,322
1683-09-21,902
1683-09-22,275
1683-09-23,302
1683-09-24,680
1683-09-25,624
1683-09-26,1204
1683-09-27,606
1683-09-28,244
1683-09-29,948
1683-09-30,452
1683-10-01,440
1683-10-02,508
1683-10-03,589
1683-10-04,368
1683-10-05,736
1683-10-06,333
1683-10-07,445
1683-10-08,840
1683-10-09,500
1683-10-10,958
1683-10-11,580
1683-10-12,480
1683-10-13,336
1683-10-14,320
1683-10-15,483
1683-10-16,444
1683-10-17,380
1683-10-18,193
1683-10-19,306
1683-10-20,200
1683-10-21,521
1683-10-22,305
1683-10-23,231
1683-10-24,882
1683-10-25,187
1683-10-26,945
1683-10-28,1198
1683-10-29,498
1683-10-30,656
1683-10-31,311
1683-11-02,873
1683-11-03,1038
1683-11-04,559
1683-11-05,315
1683-11-06,735
1683-11-07,903
1683-11-08,572
1683-11-09,634
1683-11-10,424
1683-11-11,1045
1683-11-12,322
1683-11-13,829
1683-11-14,827
1683-11-15,270
1683-11-16,456
1683-11-17,339
1683-11-18,996
1683-11-19,702
1683-11-20,354
1683-11-21,905
1683-11-22,768
1683-11-23,482
1683-11-24,414
1683-11-25,882
1683-11-26,620
1683-11-27,308
1683-11-28,706
1683-11-29,364
1683-11-30,890
1683-12-01,592
1683-12-02,504
1683-12-03,696
1683-12-04,368
1683-12-05,864
1683-12-06,844
1683-12-07,450
1683-12-09,1268
1683-12-10,481
1683-12-11,614
1683-12-12,521
1683-12-13,420
1683-12-14,420
1683-12-15,466
1683-12-16,410
1683-12-17,153
1683-12-18,1108
1683-12-19,175
1683-12-20,1028
1683-12-21,446
1683-12-22,1104
1683-12-23,336
1683-12-26,1252
1684-01-10,650
1684-01-11,1036
1684-01-13,714
1684-01-14,204
1684-01-15,338
1684-01-16,731
1684-01-17,712
1684-01-18,426
1684-01-19,548
1684-01-20,317
1684-01-21,229
1684-01-22,177
1684-01-23,758
1684-01-24,172
1684-01-25,345
1684-01-26,179
1684-01-27,399
1684-01-28,173
1684-01-29,936
1684-01-30,667
1684-01-31,626
1684-02-01,253
1684-02-03,209
1684-02-04,252
1684-02-05,259
1684-02-06,535
1684-02-07,280
1684-02-08,484
1684-02-09,305
1684-02-10,582
1684-02-11,840
1684-02-12,472
1684-02-13,867
1684-02-14,991
1684-02-15,784
1684-02-16,327
1684-02-17,500
1684-02-18,1274
1684-02-19,185
1684-02-20,577
1684-02-21,192
1684-02-22,200
1684-02-23,185
1684-02-24,593
1684-02-25,201
1684-02-26,475
1684-02-27,228
1684-02-28,264
1684-02-29,488
1684-03-01,684
1684-03-02,647
1684-03-03,381
1684-03-04,462
1684-03-05,638
1684-03-06,762
1684-03-07,210
1684-03-08,918
1684-03-09,696
1684-03-10,664
1684-03-11,500
1684-03-12,1122
1684-03-13,467
1684-03-14,572
1684-03-15,817
1684-03-16,626
1684-03-17,728
1684-03-18,746
1684-03-19,959
1684-03-20,494
1684-03-21,644
1684-03-22,514
1684-03-23,1996
1684-03-24,806
1685-01-18,417
1685-01-19,523
1685-03-29,319
1685-04-07,550
1685-04-30,648
1685-05-01,189
1685-05-02,398
1685-05-03,165
1685-05-04,664
1685-05-05,151
1685-05-06,804
1685-05-07,808
1685-05-08,482
1685-05-09,253
1685-05-10,446
1685-05-11,602
1685-05-12,163
1685-05-13,880
1685-05-14,452
1685-05-15,129
1685-05-16,688
1685-05-17,535
1685-05-18,498
1685-05-19,395
1685-05-20,734
1685-05-21,222
1685-05-22,550
1685-05-23,191
1685-05-24,458
1685-05-25,452
1685-05-26,494
1685-05-27,570
1685-05-28,206
1685-05-29,224
1685-05-30,155
1685-06-01,786
1685-06-02,282
1685-06-03,550
1685-06-04,252
1685-06-05,436
1685-06-06,702
1685-06-07,634
1685-06-08,1362
1685-06-09,173
1685-06-11,1246
1685-06-12,380
1685-06-13,1186
1685-06-14,482
1685-06-15,1000
1685-06-16,187
1685-06-17,1034
1685-06-18,195
1685-06-20,264
1685-06-22,954
1685-06-23,82
1685-06-24,680
1685-06-25,340
1685-06-26,518
1685-06-27,164
1685-06-28,670
1685-06-29,461
1685-06-30,668
1685-07-01,334
1685-07-02,444
1685-07-03,312
1685-07-04,552
1685-07-05,436
1685-07-06,1240
1685-07-07,488
1685-07-08,1380
1685-07-09,229
1685-07-10,1020
1685-07-11,199
1685-07-12,1172
1685-07-13,259
1685-07-14,512
1685-07-15,325
1685-07-16,438
1685-07-17,153
1685-07-18,630
1685-07-19,613
1685-07-20,488
1685-07-21,283
1685-07-22,369
1685-07-23,718
1685-07-24,277
1685-07-25,1472
1685-07-26,752
1685-07-27,852
1685-07-28,918
1685-07-29,1312
1685-07-30,616
1685-07-31,2310
1685-08-01,1436
1685-08-02,978
1685-08-03,1240
1685-08-04,420
1685-08-05,1804
1685-08-06,856
1685-08-07,914
1685-08-08,626
1685-08-09,1342
1685-08-10,1296
1685-08-11,844
1685-08-12,868
1685-08-13,560
1685-08-14,368
1685-08-16,844
1685-08-17,690
1685-08-18,362
1685-08-19,972
1685-08-20,334
1685-08-21,179
1685-08-22,370
1685-08-23,584
1685-08-24,742
1685-08-25,938
1685-08-26,361
1685-08-27,342
1685-08-28,214
1685-08-29,458
1685-08-30,646
1685-08-31,450
1685-09-01,430
1685-09-02,728
1685-09-03,512
1685-09-04,260
1685-09-05,381
1685-09-06,159
1685-09-07,286
1685-09-09,446
1685-09-10,556
1685-09-11,253
1685-09-12,514
1685-09-13,185
1685-09-14,428
1685-09-15,456
1685-09-16,406
1685-09-17,318
1685-09-18,336
1685-09-19,405
1685-09-20,342
1685-09-21,335
1685-09-23,791
1685-09-24,485
1685-09-25,512
1685-09-26,436
1685-09-27,483
1685-09-28,350
1685-09-29,693
1685-09-30,433
1685-10-01,492
1685-10-02,458
1685-10-03,642
1685-10-04,542
1685-10-05,408
1685-10-06,382
1685-10-07,327
1685-10-08,568
1685-10-09,1582
1685-10-10,726
1685-10-11,279
1685-10-12,428
1685-10-13,242
1685-10-14,1026
1685-10-15,664
1685-10-16,444
1685-10-17,538
1685-10-18,544
1685-10-19,260
1685-10-20,464
1685-10-21,272
1685-10-22,692
1685-10-23,460
1685-10-24,926
1685-10-25,504
1685-10-26,660
1685-10-27,252
1685-10-28,1344
1685-10-29,281
1685-10-30,646
1685-10-31,258
1685-11-02,888
1685-11-03,614
1685-11-04,1274
1685-11-05,584
1685-11-06,760
1685-11-07,672
1685-11-08,678
1685-11-09,272
1685-11-11,905
1685-11-12,347
1685-11-13,727
1685-11-14,293
1685-11-15,646
1685-11-16,1030
1685-11-17,261
1685-11-18,558
1685-11-19,902
1685-11-20,558
1685-11-21,804
1685-11-22,527
1685-11-23,304
1685-11-24,654
1685-11-25,1844
1685-11-26,382
1685-11-27,624
1685-11-28,842
1685-11-29,359
1685-11-30,323
1685-12-01,674
1685-12-02,1046
1685-12-03,111
1685-12-04,392
1685-12-05,369
1685-12-06,896
1685-12-07,586
1685-12-09,1924
1685-12-10,744
1685-12-11,696
1685-12-12,640
1685-12-13,289
1685-12-14,423
1685-12-15,574
1685-12-16,353
1685-12-17,534
1685-12-18,183
1685-12-19,948
1685-12-20,1006
1685-12-21,961
1685-12-22,848
1685-12-23,865
1685-12-26,1774
1685-12-27,871
1685-12-28,440
1685-12-29,545
1685-12-30,482
1685-12-31,362
1686-01-01,267
1686-01-02,632
1686-01-03,473
1686-01-04,398
1686-01-05,264
1686-01-06,664
1686-01-07,285
1686-01-08,716
1686-01-09,838
1686-01-10,279
1686-01-11,976
1686-01-12,479
1686-01-13,407
1686-01-14,402
1686-01-15,291
1686-01-16,519
1686-01-17,311
1686-01-19,948
1686-01-20,939
1686-01-21,273
1686-01-22,594
1686-01-23,1098
1686-01-24,199
1686-01-25,714
1686-01-26,1156
1686-01-27,1026
1686-01-28,736
1686-01-29,904
1686-01-30,407
1686-01-31,554
1686-02-01,884
1686-02-03,779
1686-02-04,920
1686-02-05,895
1686-02-06,608
1686-02-07,727
1686-02-08,936
1686-02-09,434
1686-02-10,1029
1686-02-11,922
1686-02-12,502
1686-02-13,780
1686-02-14,826
1686-02-15,485
1686-02-16,799
1686-02-17,559
1686-02-18,398
1686-02-19,638
1686-02-20,539
1686-02-21,385
1686-02-22,529
1686-02-23,369
1686-02-24,852
1686-02-25,1806
1686-02-26,375
1686-02-27,1188
1686-02-28,106
1686-03-01,1102
1686-03-02,996
1686-03-03,940
1686-03-04,570
1686-03-05,992
1686-03-06,668
1686-03-07,952
1686-03-08,790
1686-03-09,841
1686-03-10,1328
1686-03-11,442
1686-03-12,831
1686-03-13,540
1686-03-14,269
1686-03-15,752
1686-03-16,972
1686-03-17,908
1686-03-18,496
1686-03-19,134
1686-03-20,648
1686-03-21,729
1686-03-22,1006
1686-03-23,492
1686-03-24,976
1686-03-26,808
1686-03-27,306
1686-03-29,404
1686-03-30,378
1686-03-31,442
1686-04-01,477
1686-04-02,858
1686-04-03,659
1686-04-04,614
1686-04-05,389
1686-04-22,1152
1686-04-23,178
1686-04-24,1108
1686-04-25,463
1686-04-26,836
1686-04-27,279
1686-04-28,1480
1686-04-29,437
1686-04-30,1026
1686-05-01,372
1686-05-02,988
1686-05-03,1482
1686-05-04,918
1686-05-05,1758
1686-05-06,1494
1686-05-07,908
1686-05-08,1202
1686-05-09,888
1686-05-10,978
1686-05-11,748
1686-05-12,1408
1686-05-13,500
1686-05-14,664
1686-05-15,516
1686-05-16,838
1686-05-17,602
1686-05-18,364
1686-05-19,898
1686-05-20,1118
1686-05-21,342
1686-05-22,750
1686-05-24,584
1686-05-25,216
1686-05-26,924
1686-05-27,210
1686-05-28,482
1686-05-29,254
1686-05-30,490
1686-05-31,904
1686-06-01,528
1686-06-03,1946
1686-06-04,599
1686-06-05,988
1686-06-06,491
1686-06-07,233
1686-06-08,890
1686-06-09,1304
1686-06-10,473
1686-06-11,882
1686-06-12,319
1686-06-14,366
1686-06-16,324
1686-06-17,356
1686-06-18,304
1686-06-19,332
1686-06-20,610
1686-06-21,204
1686-06-22,131
1686-06-23,248
1686-06-24,302
1686-06-25,320
1686-06-26,175
1686-06-27,486
1686-06-28,265
1686-06-29,956
1686-06-30,404
1686-07-01,720
1686-07-02,226
1686-07-03,650
1686-07-04,868
1686-07-05,1258
1686-07-06,868
1686-07-07,1070
1686-07-08,600
1686-07-09,630
1686-07-10,307
1686-07-11,464
1686-07-12,370
1686-07-13,558
1686-07-14,398
1686-07-15,490
1686-07-16,162
1686-07-17,442
1686-07-18,342
1686-07-19,566
1686-07-20,364
1686-07-21,754
1686-07-22,234
1686-07-23,460
1686-07-24,247
1686-07-25,1044
1686-07-26,303
1686-07-27,652
1686-07-28,936
1686-07-29,672
1686-07-30,420
1686-07-31,1730
1686-08-01,297
1686-08-02,1194
1686-08-03,296
1686-08-04,1774
1686-08-05,732
1686-08-06,1204
1686-08-07,688
1686-08-08,1432
1686-08-09,500
1686-08-10,1256
1686-08-11,632
1686-08-12,428
1686-08-13,178
1686-08-14,442
1686-08-16,822
1686-08-17,260
1686-08-18,684
1686-08-19,460
1686-08-20,250
1686-08-21,194
1686-08-22,494
1686-08-23,840
1686-08-24,658
1686-08-25,964
1686-08-26,120
1686-08-27,774
1686-08-28,191
1686-08-29,396
1686-08-30,467
1686-08-31,318
1686-09-01,444
1686-09-02,608
1686-09-03,233
1686-09-04,470
1686-09-05,286
1686-09-06,768
1686-09-07,242
1686-09-09,522
1686-09-10,712
1686-09-11,606
1686-09-12,939
1686-09-13,788
1686-09-14,116
1686-09-15,910
1686-09-16,336
1686-09-17,294
1686-09-18,1622
1686-09-19,182
1686-09-20,248
1686-09-21,824
1686-09-22,450
1686-09-23,516
1686-09-24,247
1686-09-25,530
1686-09-26,284
1686-09-27,464
1686-09-28,289
1686-09-29,818
1686-09-30,478
1686-10-01,618
1686-10-02,716
1686-10-03,492
1686-10-04,345
1686-10-05,598
1686-10-06,398
1686-10-07,242
1686-10-08,480
1686-10-09,806
1686-10-10,574
1686-10-11,572
1686-10-12,480
1686-10-13,400
1686-10-14,488
1686-10-15,586
1686-10-16,996
1686-10-17,808
1686-10-18,598
1686-10-19,279
1686-10-20,1020
1686-10-21,260
1686-10-22,747
1686-10-23,532
1686-10-24,822
1686-10-25,550
1686-10-26,342
1686-10-27,974
1686-10-28,1044
1686-10-29,416
1686-10-30,516
1686-10-31,400
1686-11-02,1132
1686-11-03,746
1686-11-04,310
1686-11-05,388
1686-11-06,446
1686-11-07,590
1686-11-08,338
1686-11-09,478
1686-11-10,632
1686-11-11,1648
1686-11-12,419
1686-11-13,578
1686-11-14,1124
1686-11-15,382
1686-11-16,1042
1686-11-17,233
1686-11-18,282
1686-11-19,132
1686-11-20,322
1686-11-21,188
1686-11-23,417
1686-11-24,823
1686-11-25,1246
1686-11-26,447
1686-11-27,680
1686-11-28,774
1686-11-29,464
1686-11-30,581
1686-12-01,388
1686-12-02,744
1686-12-03,498
1686-12-04,412
1686-12-05,868
1686-12-07,1166
1686-12-10,580
1686-12-13,280
1686-12-15,1608
1686-12-17,378
1686-12-19,715
1686-12-20,706
1686-12-21,1876
1686-12-22,671
1686-12-23,452
1686-12-27,1008
1686-12-28,649
1686-12-29,381
1686-12-30,520
1686-12-31,230
1687-01-01,331
1687-01-02,1004
1687-01-03,260
1687-01-04,484
1687-01-05,219
1687-01-06,1670
1687-01-07,945
1687-01-08,640
1687-01-09,1020
1687-01-10,558
1687-01-11,858
1687-01-12,1118
1687-01-13,930
1687-01-14,714
1687-01-15,980
1687-01-16,928
1687-01-17,710
1687-01-18,846
1687-01-19,1300
1687-01-20,715
1687-01-21,418
1687-01-22,770
1687-01-23,1066
1687-01-24,606
1687-01-25,712
1687-01-26,920
1687-01-27,563
1687-01-28,980
1687-01-29,288
1687-01-31,180
1687-02-01,553
1687-02-03,990
1687-02-04,264
1687-02-05,753
1687-02-07,624
1687-02-08,285
1687-02-09,975
1687-02-10,698
1687-02-11,495
1687-02-12,511
1687-02-13,368
1687-02-14,548
1687-02-15,590
1687-02-16,290
1687-02-17,568
1687-02-18,147
1687-02-19,660
1687-02-20,389
1687-02-21,885
1687-02-22,570
1687-02-23,976
1687-02-24,1015
1687-02-25,320
1687-02-26,366
1687-02-27,600
1687-02-28,816
1687-03-01,458
1687-03-02,768
1687-03-03,367
1687-03-04,530
1687-03-05,328
1687-03-06,559
1687-03-07,375
1687-03-08,432
1687-03-09,620
1687-03-10,404
1687-03-11,510
1687-03-12,1520
1687-03-13,462
1687-03-14,478
1687-03-15,1334
1687-03-17,826
1687-04-08,722
1687-04-09,345
1687-04-12,939
1687-04-13,1128
1687-04-14,287
1687-04-15,918
1687-04-16,738
1687-04-18,254
1687-04-19,632
1687-04-20,910
1687-04-22,424
1687-04-23,362
1687-04-24,234
1687-04-25,845
1687-04-26,806
1687-04-27,644
1687-04-28,376
1687-04-29,519
1687-04-30,608
1687-05-01,566
1687-05-02,710
1687-05-03,261
1687-05-04,796
1687-05-05,152
1687-05-06,243
1687-05-07,1008
1687-05-10,1134
1687-05-11,826
1687-05-12,207
1687-05-13,658
1687-05-14,224
1687-05-15,456
1687-05-16,186
1687-05-17,242
1687-05-19,401
1687-05-20,898
1687-05-21,199
1687-05-22,982
1687-05-23,552
1687-05-24,301
1687-05-25,1362
1687-05-26,219
1687-05-27,892
1687-05-28,205
1687-05-30,384
1687-05-31,856
1687-06-01,296
1687-06-02,746
1687-06-03,349
1687-06-04,810
1687-06-05,584
1687-06-06,193
1687-06-07,412
1687-06-08,1404
1687-06-09,284
1687-06-10,608
1687-06-12,660
1687-06-13,274
1687-06-14,616
1687-06-15,790
1687-06-16,512
1687-06-17,286
1687-06-18,912
1687-06-19,334
1687-06-20,532
1687-06-21,874
1687-06-22,736
1687-06-23,252
1687-06-24,608
1687-06-25,614
1687-06-26,908
1687-06-27,207
1687-06-28,136
1687-06-29,205
1687-06-30,332
1687-07-01,139
1687-07-02,516
1687-07-03,366
1687-07-04,400
1687-07-05,235
1687-07-06,331
1687-07-07,578
1687-07-09,580
1687-07-10,316
1687-07-11,538
1687-07-12,226
1687-07-13,744
1687-07-14,302
1687-07-15,258
1687-07-16,402
1687-07-17,430
1687-07-18,456
1687-07-19,185
1687-07-20,1382
1687-07-21,197
1687-07-22,796
1687-07-23,870
1687-07-24,400
1687-07-25,517
1687-07-26,850
1687-07-27,382
1687-07-28,648
1687-07-29,560
1687-07-30,828
1687-07-31,556
1687-08-01,474
1687-08-02,468
1687-08-03,754
1687-08-04,453
1687-08-05,424
1687-08-06,496
1687-08-07,604
1687-08-08,244
1687-08-09,654
1687-08-10,488
1687-08-11,332
1687-08-12,166
1687-08-13,552
1687-08-14,1096
1687-08-16,580
1687-08-17,453
1687-08-18,384
1687-08-19,229
1687-08-20,344
1687-08-21,290
1687-08-22,502
1687-08-23,1378
1687-08-24,1490
1687-08-25,1648
1687-08-26,398
1687-08-27,930
1687-08-28,698
1687-08-29,302
1687-08-30,260
1687-08-31,261
1687-09-01,272
1687-09-02,592
1687-09-03,226
1687-09-04,1834
1687-09-05,400
1687-09-06,1014
1687-09-07,1020
1687-09-09,384
1687-09-10,470
1687-09-11,826
1687-09-12,342
1687-09-13,306
1687-09-14,1692
1687-09-15,758
1687-09-16,250
1687-09-17,786
1687-09-18,311
1687-09-19,916
1687-09-20,227
1687-09-21,1240
1687-09-23,344
1687-09-24,588
1687-09-25,466
1687-09-26,700
1687-09-27,328
1687-09-28,1498
1687-09-29,3345
1687-09-30,370
1687-10-01,588
1687-10-02,510
1687-10-03,356
1687-10-04,584
1687-10-05,630
1687-10-06,506
1687-10-07,220
1687-10-08,648
1687-10-09,297
1687-10-10,339
1687-10-11,426
1687-10-12,738
1687-10-13,266
1687-10-14,256
1687-10-15,288
1687-10-16,290
1687-10-17,438
1687-10-18,504
1687-10-19,725
1687-10-20,340
1687-10-21,612
1687-10-22,462
1687-10-23,496
1687-10-24,852
1687-10-25,324
1687-10-26,1031
1687-10-27,212
1687-10-28,1082
1687-10-29,310
1687-10-30,713
1687-10-31,444
1687-11-02,674
1687-11-03,542
1687-11-04,544
1687-11-05,288
1687-11-06,695
1687-11-07,620
1687-11-08,472
1687-11-09,845
1687-11-10,298
1687-11-11,895
1687-11-13,714
1687-11-14,306
1687-11-15,773
1687-11-16,1906
1687-11-17,717
1687-11-18,492
1687-11-19,584
1687-11-20,1172
1687-11-21,598
1687-11-22,728
1687-11-23,865
1687-11-24,502
1687-11-25,576
1687-11-26,617
1687-11-27,408
1687-11-28,406
1687-11-29,520
1687-11-30,513
1687-12-01,1014
1687-12-02,440
1687-12-03,469
1687-12-04,646
1687-12-05,241
1687-12-06,505
1687-12-09,381
1687-12-10,519
1687-12-11,736
1687-12-12,599
1687-12-13,1202
1687-12-14,948
1687-12-15,652
1687-12-16,324
1687-12-17,1046
1687-12-18,876
1687-12-19,640
1687-12-20,718
1687-12-21,660
1687-12-22,410
1687-12-23,191
1687-12-26,1292
1687-12-27,542
1687-12-28,802
1687-12-29,142
1687-12-30,412
1687-12-31,550
1688-01-01,497
1688-01-02,300
1688-01-03,1012
1688-01-04,356
1688-01-05,436
1688-01-06,324
1688-01-07,557
1688-01-08,242
1688-01-09,421
1688-01-10,326
1688-01-11,856
1688-01-12,236
1688-01-13,460
1688-01-14,247
1688-01-15,385
1688-01-16,490
1688-01-17,514
1688-01-18,580
1688-01-19,403
1688-01-20,874
1688-01-21,347
1688-01-22,1100
1688-01-23,349
1688-01-24,661
1688-01-25,385
1688-01-26,469
